survey,NICKEL2-B,NICKEL2-V,NICKEL2-R,NICKEL2-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,NICKEL2-B_AV,NICKEL2-V_AV,NICKEL2-R_AV,NICKEL2-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
NICKEL2,17.0809,16.3745,15.9256,15.4281,16.5589,16.0782,15.8956,15.835,247.219,39.5725,0.04035652173913044,0.0311325,0.023659154929577465,0.014359605911330049,0.0348,0.024718309859154936,0.018740112994350282,0.014600985221674877
NICKEL2,16.2558,15.4285,14.9067,14.354,15.662,15.0633,14.8469,14.7677,212.838,1.27292,0.1362121739130435,0.10353000000000001,0.0809774647887324,0.048438423645320194,0.1182,0.0841549295774648,0.06209039548022599,0.049403940886699506
NICKEL2,16.6489,15.7745,15.2241,14.7056,16.0278,15.3983,15.2055,15.135,212.882,1.30453,0.14535478260869564,0.11071875,0.08630704225352114,0.05161822660098522,0.126,0.09001408450704226,0.066090395480226,0.052704433497536944
NICKEL2,17.7669,16.8239,16.2319,15.6099,17.1053,16.4008,16.1182,16.0028,38.1378,35.4441,0.2583530434782609,0.19711625,0.1529549295774648,0.09187684729064038,0.22340000000000002,0.1593098591549296,0.11744067796610169,0.09380788177339901
NICKEL2,17.9764,17.254,16.7954,16.2797,17.4403,16.9534,16.766,16.7112,153.201,12.6428,0.15135478260869564,0.1149075,0.08930704225352112,0.05361822660098522,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
NICKEL2,17.5742,16.7362,16.2079,15.6771,16.9732,16.3768,16.1745,16.0898,266.775,57.3095,0.1755686956521739,0.13366250000000002,0.10363661971830987,0.06197783251231527,0.152,0.10787323943661974,0.07996045197740113,0.06330541871921182
NICKEL2,17.9477,17.1676,16.6742,16.1176,17.379,16.8342,16.6191,16.5204,266.862,57.3171,0.16249739130434782,0.12409624999999999,0.09630704225352113,0.05779802955665025,0.1406,0.10001408450704227,0.07396045197740113,0.059004926108374385
NICKEL2,18.9148,18.049,17.5038,16.9381,18.3119,17.6763,17.4433,17.3658,266.836,57.2842,0.16549739130434782,0.12609625,0.09763661971830986,0.05879802955665025,0.1426,0.10187323943661973,0.07496045197740113,0.060004926108374386
NICKEL2,17.9029,17.0671,16.54,15.9897,17.3063,16.7015,16.4624,16.3758,232.496,13.0354,0.14028347826086957,0.10652999999999999,0.0829774647887324,0.04961822660098522,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
NICKEL2,18.2185,17.4876,17.0238,16.5063,17.6839,17.18,16.983,16.8961,232.519,13.0161,0.14128347826086957,0.10752999999999999,0.08330704225352113,0.04961822660098522,0.1222,0.08701408450704226,0.06409039548022599,0.05070443349753695
NICKEL2,18.4559,17.6822,17.1926,16.6648,17.8855,17.3536,17.1526,17.0673,232.532,13.0252,0.14128347826086957,0.10752999999999999,0.08330704225352113,0.04961822660098522,0.1222,0.08701408450704226,0.06409039548022599,0.05070443349753695
NICKEL2,16.9239,15.9175,15.2869,14.6517,16.222,15.4574,15.1712,15.0587,334.599,40.5924,0.5630626086956523,0.42893125,0.33323943661971833,0.20011330049261083,0.487,0.34647887323943666,0.25636158192090397,0.2042167487684729
NICKEL2,17.4236,16.5481,15.997,15.4273,16.8002,16.1592,15.9273,15.8412,20.1959,4.79107,0.10292695652173912,0.07820875,0.06064788732394366,0.03625862068965518,0.0886,0.06329577464788734,0.04635028248587571,0.03710344827586207
NICKEL2,16.7463,15.9619,15.4659,14.9318,16.175,15.629,15.4068,15.3372,36.3798,41.8096,0.21085391304347825,0.16060625,0.12429577464788732,0.07433743842364532,0.182,0.12959154929577468,0.09570056497175142,0.0759064039408867
NICKEL2,18.0005,17.11,16.5499,15.9579,17.3816,16.7249,16.457,16.3554,55.5779,-4.68826,0.21392521739130435,0.162795,0.12629577464788733,0.07551724137931035,0.1848,0.13159154929577468,0.09757062146892656,0.07720689655172414
NICKEL2,18.7295,18.0103,17.5536,17.0665,18.2292,17.733,17.5507,17.5042,37.9598,1.23075,0.08778434782608695,0.06683125000000001,0.05231830985915493,0.031078817733990148,0.076,0.05443661971830987,0.04035028248587571,0.031802955665024626
NICKEL2,16.1263,15.3183,14.8081,14.2572,15.5344,14.963,14.7445,14.6393,182.047,65.1636,0.06964173913043478,0.05307625,0.0409887323943662,0.024719211822660098,0.0598,0.0425774647887324,0.031610169491525425,0.025201970443349753
NICKEL2,16.7474,15.8805,15.3347,14.7825,16.1267,15.501,15.2706,15.1623,227.287,-11.3474,0.39656521739130435,0.30183499999999996,0.2349323943661972,0.1403152709359606,0.3434,0.2444647887323944,0.18053107344632768,0.14321182266009852
NICKEL2,16.3267,15.5315,15.0291,14.5316,15.7492,15.1945,15.0139,14.9431,235.065,11.3918,0.14935478260869564,0.11371875000000001,0.08830704225352112,0.05261822660098522,0.129,0.09201408450704227,0.06796045197740114,0.053704433497536945
NICKEL2,18.0691,17.1174,16.5202,15.9381,17.3993,16.6929,16.4504,16.3508,235.071,11.3772,0.14935478260869564,0.11371875000000001,0.08830704225352112,0.05261822660098522,0.129,0.09201408450704227,0.068090395480226,0.053704433497536945
NICKEL2,16.6199,15.8697,15.3944,14.8604,16.0718,15.551,15.3339,15.2714,247.467,40.7939,0.023213913043478262,0.017755,0.014329577464788733,0.008179802955665024,0.020200000000000003,0.014859154929577467,0.01087005649717514,0.00830049261083744
NICKEL2,18.3882,17.6006,17.1026,16.5693,17.8221,17.2698,17.0579,16.9804,247.435,40.7745,0.022142608695652172,0.016755,0.013329577464788732,0.00735960591133005,0.019200000000000002,0.013859154929577467,0.009870056497175142,0.007600985221674877
NICKEL2,18.0504,16.8502,16.1013,15.274,17.2394,16.3007,15.8329,15.5717,85.441,18.5344,1.5429756521739129,1.1752637499999998,0.9130704225352113,0.5469014778325123,1.3348,0.9501408450704226,0.7031242937853107,0.5582463054187192
NICKEL2,17.7735,16.8529,16.2746,15.709,17.1215,16.4474,16.2144,16.1315,280.022,40.0852,0.22606782608695652,0.17236125000000002,0.13429577464788733,0.08051724137931035,0.19619999999999999,0.13959154929577466,0.1034406779661017,0.08220689655172414
NICKEL2,17.888,17.1057,16.611,16.0688,17.3076,16.7708,16.5626,16.491,280.078,40.1205,0.22806782608695653,0.17336125000000002,0.13462535211267607,0.08051724137931035,0.1972,0.14045070422535214,0.10357062146892655,0.08220689655172414
NICKEL2,18.0282,17.2288,16.7237,16.2008,17.4503,16.891,16.6898,16.6274,279.993,40.0915,0.22206782608695652,0.1691725,0.13129577464788733,0.07851724137931035,0.19240000000000002,0.1365915492957747,0.10157062146892655,0.08020689655172414
NICKEL2,18.2101,17.3421,16.7956,16.1879,17.5972,16.9629,16.6878,16.5737,311.009,12.5291,0.3703513043478261,0.28189125000000004,0.21927323943661972,0.13113546798029557,0.3204,0.22774647887323948,0.16866101694915256,0.1339113300492611
NICKEL2,17.414,16.4591,15.8599,15.2421,16.7377,16.0234,15.7531,15.635,290.681,43.9203,0.40063652173913045,0.30483499999999997,0.2369323943661972,0.1423152709359606,0.3464,0.2464647887323944,0.18240112994350283,0.14521182266009852
NICKEL2,17.7968,17.0081,16.5095,15.9521,17.2222,16.6857,16.4396,16.3484,354.481,27.315,0.271424347826087,0.2066825,0.16028450704225353,0.09605665024630541,0.2348,0.16716901408450707,0.12331073446327684,0.09810837438423645
NICKEL2,17.9765,17.0141,16.4104,15.7219,17.3068,16.5814,16.2376,16.0786,291.961,54.3391,0.49749217391304346,0.378855,0.2942507042253521,0.17639408866995077,0.4302,0.3059014084507043,0.22675141242937855,0.18001477832512316
NICKEL2,18.0968,17.231,16.6858,16.0992,17.4877,16.851,16.6013,16.5044,291.925,54.399,0.4843495652173913,0.3684775,0.28625070422535215,0.17139408866995076,0.41859999999999997,0.2979014084507043,0.2208813559322034,0.17501477832512316
NICKEL2,18.5865,17.579,16.9478,16.3261,17.886,17.1218,16.8525,16.7535,291.867,54.4254,0.46520695652173916,0.35391125,0.2749211267605634,0.1650344827586207,0.4022,0.2860422535211268,0.21201129943502825,0.16841379310344828
NICKEL2,18.6018,17.6673,17.0805,16.4583,17.9555,17.2518,16.9779,16.8703,291.951,54.3429,0.48742086956521735,0.3714775,0.28825070422535215,0.17321428571428574,0.4216,0.2999014084507043,0.2218813559322034,0.1767142857142857
NICKEL2,18.7722,17.8237,17.2284,16.6248,18.1211,17.4047,17.1485,17.0324,291.899,54.4011,0.4843495652173913,0.3684775,0.28625070422535215,0.17139408866995076,0.41859999999999997,0.2979014084507043,0.2208813559322034,0.17501477832512316
NICKEL2,17.0394,16.3288,15.8773,15.3951,16.5143,16.0397,15.8713,15.8325,170.379,34.3679,0.08371304347826088,0.06364249999999999,0.04931830985915493,0.029899014778325125,0.0722,0.051436619718309866,0.037480225988700565,0.030502463054187193
NICKEL2,17.182,16.269,15.6952,15.1073,16.5391,15.8742,15.6134,15.5074,243.174,28.2735,0.1887113043478261,0.14404,0.1119661971830986,0.0671576354679803,0.16360000000000002,0.1167323943661972,0.08583050847457627,0.06860591133004926
NICKEL2,18.2996,17.513,17.0157,16.4647,17.7315,17.1844,16.9565,16.8749,243.233,28.2367,0.19678260869565217,0.15022875,0.11663661971830987,0.0701576354679803,0.1704,0.12087323943661973,0.08970056497175141,0.07160591133004926
NICKEL2,18.7294,17.8207,17.2495,16.6485,18.0843,17.4263,17.1635,17.0685,243.166,28.2653,0.1897113043478261,0.14404,0.1119661971830986,0.0671576354679803,0.16360000000000002,0.1167323943661972,0.08670056497175141,0.06860591133004926
NICKEL2,18.7458,18.0042,17.534,16.9654,18.2059,17.6876,17.4465,17.3668,243.143,28.2562,0.18664,0.14204,0.1099661971830986,0.06597783251231527,0.16160000000000002,0.11473239436619721,0.08483050847457627,0.06730541871921182
NICKEL2,16.5238,15.7469,15.2554,14.7482,15.955,15.414,15.2241,15.1573,266.316,18.1237,0.23413913043478263,0.17855000000000001,0.13862535211267607,0.08351724137931035,0.20299999999999999,0.14445070422535214,0.10657062146892655,0.08520689655172414
NICKEL2,17.0862,16.2365,15.701,15.1034,16.4772,15.8798,15.6085,15.4854,266.319,18.1023,0.23613913043478263,0.17955,0.13962535211267607,0.08351724137931035,0.204,0.14545070422535214,0.1074406779661017,0.08520689655172414
NICKEL2,17.1746,16.3259,15.7911,15.2562,16.5705,15.9525,15.7453,15.6732,266.284,18.1725,0.23406782608695653,0.17836125000000003,0.13829577464788734,0.08269704433497538,0.2022,0.14359154929577467,0.1064406779661017,0.08450738916256158
NICKEL2,17.9395,17.0994,16.5697,16.0471,17.2681,16.6452,16.4731,16.436,171.262,-9.82007,0.15042608695652174,0.1149075,0.08930704225352112,0.05361822660098522,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
NICKEL2,17.3907,16.5452,16.0123,15.461,16.7797,16.1792,15.9523,15.8663,334.319,35.5532,0.4318504347826087,0.32877875,0.2552619718309859,0.15285467980295567,0.3734,0.2653239436619719,0.19627118644067798,0.15611330049261082
NICKEL2,18.0414,17.1026,16.5132,15.9198,17.3799,16.686,16.4354,16.3279,334.329,35.5384,0.4288504347826087,0.32659,0.25359154929577465,0.15167487684729064,0.3706,0.26418309859154937,0.19527118644067798,0.1548128078817734
NICKEL2,17.7613,17.0357,16.5752,16.0634,17.2383,16.7319,16.535,16.469,305.911,-28.2982,0.22306782608695652,0.1701725,0.13229577464788733,0.07933743842364532,0.19340000000000002,0.1375915492957747,0.10157062146892655,0.0809064039408867
NICKEL2,18.0175,17.1388,16.5858,16.0095,17.3837,16.7568,16.5073,16.414,305.87,-28.2609,0.22099652173913042,0.16798375000000002,0.13029577464788733,0.07833743842364532,0.19060000000000002,0.1355915492957747,0.10057062146892655,0.0799064039408867
NICKEL2,18.7182,17.8953,17.376,16.8122,18.1286,17.54,17.3013,17.2112,305.862,-28.2622,0.22099652173913042,0.16798375000000002,0.13029577464788733,0.07833743842364532,0.19060000000000002,0.1355915492957747,0.10057062146892655,0.0799064039408867
NICKEL2,18.7736,17.9635,17.4519,16.8633,18.2073,17.6135,17.3659,17.261,305.888,-28.2854,0.22399652173913043,0.1701725,0.13229577464788733,0.07951724137931035,0.19340000000000002,0.1375915492957747,0.10157062146892655,0.08120689655172414
NICKEL2,16.3988,15.6219,15.1304,14.6075,15.8291,15.2803,15.0826,15.0161,318.468,13.6095,0.28356695652173913,0.21605999999999997,0.1679549295774648,0.10105665024630542,0.2454,0.1743098591549296,0.12918079096045199,0.10310837438423645
NICKEL2,17.9868,17.2865,16.8333,16.3322,17.4855,17.0015,16.8213,16.7752,178.942,55.2888,0.05049913043478261,0.03869875,0.0299887323943662,0.0177192118226601,0.044199999999999996,0.0315774647887324,0.022740112994350282,0.018201970443349754
NICKEL2,18.7943,17.9595,17.4331,16.8661,18.2119,17.5956,17.3692,17.2537,244.534,21.5369,0.2916382608695652,0.22224875,0.17228450704225354,0.10323645320197045,0.2522,0.17916901408450706,0.13305084745762713,0.10540886699507389
NICKEL2,18.4159,17.5918,17.0719,16.5362,17.8222,17.2394,17.0284,16.955,259.348,41.1018,0.10499826086956521,0.0803975,0.06231830985915493,0.03725862068965517,0.0914,0.06443661971830987,0.04822033898305085,0.03810344827586207
NICKEL2,17.9224,17.1176,16.6093,16.0661,17.345,16.7667,16.5484,16.4563,353.7,18.1834,0.27956695652173913,0.21287124999999998,0.16528450704225353,0.09905665024630542,0.2416,0.17216901408450705,0.12718079096045198,0.10110837438423645
NICKEL2,17.9861,17.207,16.7143,16.1473,17.4213,16.8684,16.6395,16.5393,183.453,46.4801,0.0655704347826087,0.05007625,0.0389887323943662,0.022719211822660096,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.02320197044334975
NICKEL2,18.3528,17.5759,17.0844,16.5813,17.7787,17.2674,17.077,17.002,162.835,8.56445,0.08978434782608695,0.06783125000000001,0.05331830985915493,0.03189901477832512,0.077,0.05543661971830987,0.04048022598870057,0.03250246305418719
NICKEL2,16.7584,15.9772,15.4831,14.8878,16.1895,15.6369,15.3641,15.2481,263.139,7.04799,0.45313565217391305,0.345345,0.2679211267605634,0.16085467980295567,0.3918,0.27904225352112677,0.2061412429378531,0.16411330049261083
NICKEL2,16.4099,15.5205,14.961,14.3743,15.7744,15.1327,14.8677,14.7702,295.888,56.0888,0.45613565217391305,0.34753375000000003,0.2699211267605634,0.1620344827586207,0.3946,0.2810422535211268,0.20801129943502825,0.16541379310344828
NICKEL2,16.8247,15.8687,15.2689,14.6394,16.2007,15.4232,15.1507,15.0247,295.909,56.1053,0.45713565217391305,0.34853375000000003,0.27059154929577467,0.1620344827586207,0.3956,0.28118309859154933,0.2081412429378531,0.16541379310344828
NICKEL2,16.6842,15.9319,15.4552,14.9357,16.1288,15.6127,15.4075,15.3468,237.799,25.6967,0.2562817391304348,0.19511625,0.15162535211267605,0.09087684729064038,0.2214,0.15745070422535215,0.11644067796610169,0.092807881773399
NICKEL2,18.186,17.392,16.8901,16.3698,17.6111,17.055,16.8613,16.7827,26.0066,34.4035,0.18164,0.13785125,0.10763661971830986,0.06397783251231527,0.1568,0.11187323943661974,0.08283050847457628,0.06530541871921182
NICKEL2,18.6803,17.8959,17.3999,16.8355,18.117,17.5776,17.331,17.2402,26.0399,34.3686,0.1765686956521739,0.13466250000000002,0.10463661971830986,0.06279802955665024,0.153,0.10887323943661974,0.08083050847457628,0.06400492610837438
